"","review_id","stars","text","cool","useful","funny","scores","review_type","Predicted_Stars"
"6230","9dQNhJ5qkPzbQTZRezn3hA","1","Forget the yogurt and the berry berry bad service. The OCD worker with shadow you and serve you a sample with a glaring stare. You'll never feel so ackward adding your toppings since she'll trail behind you and fix the spoons. Yogurt sucks as much as the service, so I don't recommend.",0,0,1,-0.5,"Negative","1"
"6234","WQVr6c3chFsupLi8Sk8rig","2","The food wasn't that good but that wasn't my main issue. It was the unwelcoming feeling I experienced. I will not be returning. The owner was friendly with everyone in the restaurant except my boyfriend and I. He would go table to table and talk to people and greet new customers and would acknowledge them when they left. The only acknowledgement I was received was an uncomfortable feeling of him staring at me when I wasn't looking, I'm assuming due to my abundance of tattoos. I felt judged and will not recommend this place to my friends or will never return.",0,0,0,1,"Positive","4"
"6238","OtoumFd8NnqVoAdBh1p80A","2","""Fuck you all, we hope you die.
That's the Trojan Battle Cry!""
Wow, I can not believe someone Yelp'ed PV. 
 My freshman year, my science teacher was arrested from embezzling from the strip joint she owned. We then had a different teacher every couple of weeks for the first half of the year. When we finally got a permanent teacher, the damage was done. The kids had no connection or respect for any teacher who walked in the door anymore.
  The year I graduated, there were 3000 students and over 1000 in my graduating class. We often had 40+ kids in one classroom. 
Man, I hated this school. When I first started on the Bell Rd Campus, we referred to it as PV Prison because of the tall, iron, spiked gates and security in golf carts patrolling the campus for potential escapees. I remember, before they briefly closed the campus for renovations, a girl falling through the auditorium wall, and pieces of the ceiling falling on peoples heads before they condemned it. After 2 years at this location, they suddenly closed the campus and opened the new campus on Union Hills, the campus that was to become North Canyon.
 They built the new campus with the intention of having both schools open, but as more and more buildings kept falling apart, they decided to shut down PV and re-open it under the same name on the new campus. 
 They spent a shit-ton fuck load of money on a super high-tech theater, in return for letting it be used for official Gov't events,  that no one new how to use. This was one of the best things about it. I was one of the few people who could run the sound and lights and got out of class frequently because of it. 
 I remember making a video with Casey about an art show the school was having and not being allowed to air it on the morning video announcements because we used the phrase ""come out of the closet"" and they thought the phrase might be offensive. Then, that same week, the football team had a video where they all pretended to be gay, talking with lisps and flailing limp wrists. When I went to the office to ask what the fuck, they told me that football players didn't need approval for anything they did. I remember my friend being expelled for missing too much school due to chicken pox and a mother not well enough to call her in. I, of course, seemed invisible to the system. I ditched class often, and it never showed on my record at all. I remember when Miss Lee dressed as a hard rocker with tattoo's for halloween and the administrators making her change it because the costume was a bad influence. I remember my friends boyfriend being suspended because they searched his car for drugs (on an anonymous tip) and found a box cutter in his trunk he used for work which he kept in his trunk because he went to work straight from school.  I remember testing out of highschool classes before freshman year, yet being subjected to 4 years of bullshit. I am pretty sure it was PVUSD that was the inspiration for the movie ""Pump Up the Volume"", which was filmed in the general area.
  When I quit the softball team, the coach/school councilor kept sending people to pull me out of class to try to talk me into playing again. When we took pictures for the badminton team, we didn't have enough uniforms for the entire team. 
 I felt like I was in some prison or some high security mental facility. In fact, when my mom visited the new campus, she was horrified there were no windows and they used the drab, grey/blue colors they use in mental hospitals she had worked in to keep the patients calm. I never had a chemistry class. My two history classes consisted of a teacher who spent one entire year talking about Shakespear, and another who said that ""The slaves did not have it so bad"".  My Biology book was so old, it had my friends mothers name in it from 20 years earlier, AND same friends mother warned me against my Biology teacher, Mr. H__. ""If he ever tells you to stay after class by yourself.. DON'T.""  
 
The Good Things I Remember -
 Mrs. Toal [sp?], a very good, and supportive, English teacher. Miss Lee, the best photography/video teacher ever and always had the best Halloween costumes. Hanging out at lunch under a tree with the boy we called Rico Suave who said he lived in a box and would tell stories about the Horny Lady. Sneaking off campus to go to Barrows Pizza. My friends  wearing cut out Trojan condom boxes pinned to their shirt at the forced ""spirit assemblies"" and chanting our own spirit chant of ""Fuck you all we hope you die, that's the Trojan battle cry"".

 Time has a way of blurring the past, and making it less icky. Yet, my sister is a teacher at North Canyon, and a few years back I went and visited her on campus. The second I stepped into the main building, I felt sick to my stomach. Literally. 
 I hear they have made improvements since I graduated, and I hope so. I don't want my niece and nephew forced to survive another drone factory.",4,3,4,-4.5,"Negative","2"
"6239","BNwJI8n_V0Am6hhdL8d05Q","5","I just got back from my first visit ti Jacks All In Social Club. I'll be go back. I found the place a nice place to play a hand or two of Texas Hold'em poker. The owners are nice couple want to provide a nice, clean, and safe place to play poker. They have succeed.",0,0,0,3,"Positive","5"
"6240","XH9g0_GUnsmditNik7uvEA","4","You can ride your bike! Yes, that right - take your bike with you - it's awesome.",0,1,2,1,"Positive","5"
"6241","PbEkBU2uIOyWxCGP9T_KuQ","2","REI.. I love you .. what and who did you hire??!!! BECAUSE you are such a 5star.. you rock.. you have all things for the active.. even for my active doggy! My active everything.. BUT when I drop over $100 on a reflective North Face jacket so Mark doesnt get run over on the run in the dark on his business trips.. & your startofffriendly and turntobeastwhentoldNO workerbee clerk boy checks me out and I deny his REI loyalty club membership.. not once.. not twice.. he asks whats my DEAL? Wait, DID he just ask me whats my DEAL??? (come here college boy.. ILL show you what my deal is!) followed with.. what you dont see yourself shopping here much? I glared at him.. and stated I was in an absolute hurry.. PLEASE give me my paid for merchandise because I SAID NO! My friend said thank you as we left.. and he actually chuckled.. umm no thank you back.. bad bad bad.. but I love the merchandise and the friendly folks in the bike and running area.. so its gotta rate a 2 for that..",1,2,2,0.5,"Positive","2"
"6242","aBMTPjoLBKYvc3f6gfvNqw","4","We had a very nice meal here last night. The curries were pretty authentic and carried enough spice to make them very tasty. Unusual location but it wasn't hard to find. Good service, though we were only ones there when we finished at 8pm.",0,0,0,1.5,"Positive","5"
"6243","WO9nU3RcXwkHZEficOsYwA","5","When was the last time that you went to a restaurant and were still bragging about your experience two weeks later??? This is exactly what I am doing about the ""Arrogant Butcher.""

I went there a couple of weeks ago with a bunch of folks from work. We had a private dining area and our servers name was Mark. He truly made the experience AMAZING!  His detailed, vivid descriptions of the entrees and desserts were comical and had most of us in tears. You could almost smell and taste each item as he passionately went into detail.  The appetizer- soft pretsels with cheese..OH EM GEE!!!!!!!!  Why doesn't every restaurant have these??? The crab stuffed chicken......AMAZING!

We shared several desserts, one which was a peanut butter cup......stand back Reese's......you have competition now!! =)

The manager came in later and had a professional, yet funny, manner about him as well.  What a great team they are.",0,1,0,1.5,"Positive","5"
"6244","wrdSVbYnPayOIsAjYUP-3A","5","Love love love this place!",0,0,0,1.5,"Positive","5"
"6248","l4iSpVLGvIj-epME1AYBzQ","4","A group of friends and I decided to check out Vincent's Saturday Market this past weekend after a beautiful morning hike had worked up our appetites.  When we got there, the place was packed (but still had space to accomodate our group of 6).  It was the perfect outdoor market feel, with fresh vegetables from the garden available for purchase, next to organic lotions and soaps, and all sorts of food stands to whet any appetite (crepes, tacos, paninis, etc).  There was even a mimosa stand, where for $20 you could purchase a bottle of champagne, a glass of OJ, and as many plastic cups as needed.  This is definitely going to be added to my list of favorite places to enjoy a beverage while observing some extremely entertaining people watching!  I loved it, and hope to go again soon!",1,2,0,4.5,"Positive","5"
"6253","hwYVJs8Ko4PMjI19QcR57g","4","We got here around midnight last Friday... the place was dead. However, they were still serving food and we enjoyed some well made pub grub. Service was friendly, quality cocktails were served, and the atmosphere is derived from an old Uno's, which certainly works for a sports bar. It being located in a somewhat commercial area, I can see why it's empty so late on a Friday. From what my friends tell me - this is a great spot for happy hour, and it stays relatively busy thru 10pm.

*UPDATE - Great patio for day-drinking on the weekends!",5,5,2,3,"Positive","4"
"6254","BaLkJ6XxvqhWEmjiRuFS5w","5","Not being a big fan of chain restaurants, I wasnt super excited to eat here last night. I was however, starving and craving mexican food and wanting to try somewhere new so we ended up at Manuel's. 

OMG I loved it! The salsa's (especially the hot!) the chips, the cheese crisp with green chiles and onions, and most of all: the chilaquiles!! I LOVE chilaquiles so much and had mostly seen them only served at breakfast until I opened up Manuel's menu and there they were, just how I like them! SO good I wouldve licked the dish they were served in if I wasnt so full afterwards!

JD had a rolled quesadilla that was fantastic too and we both needed to be rolled out of there when we finished eating. It was so good though that I'm craving it again today. We will definitely be back!",1,3,0,5,"Positive","5"
"6257","dx-uyV1hWZ8jQ5szxqeorg","4","Best shrimp burro's. If it wasn't in the hood & make me cringe @ the thought of going in at night alone, I maybe would have given it 5 stars. 
The staff is as friendly as any other Mexican spot. The place is kept decently clean. Don't let the outside totally deter you from at least stepping foot in the place. There's a couple TV's playing Mexican music video's to get your mind off of waiting for your order, which is surprisingly fast. Call in orders are necessary when your trying to beat the lunch rush. But any other time, you could be out the door in 10 minutes. 
This place has been here for a while now. There is other La Salsita spots to go to in the valley. Some tweaked their spelling but all in all, best shrimp burro on this side of Van Buren!",0,0,0,1.5,"Positive","5"
"6259","MWcPQMNNR6-ZF8-8h348SQ","4","I've been here three times once for lunch and twice for dinner. Lunch was pretty crowded, dinner not so much but tons of take out. Prices are cheap and food is good! 

I love the beans and I recently tried the guacamole and loved it. Try it out and see for yourself.",0,0,0,1,"Positive","4"
"6262","yMiNSE7ymTrQBpdKNYG-Jg","1","PIECE OF **** manager wouldn't put air conditioning on yesterday. It was 90.
They just lost alot of business.",1,2,0,-0.5,"Negative","5"
"6265","5LjP7wMvVl197y1j-dGw5g","5","This is my current first choice in eateries.  The spring rolls are made with rice paper and such an array of fresh bite sized vegetables, it melts in your mouth, and there are so many different kinds, ave price 3-4.00.  Did I say they are HUGE?  It's a weight watchers dream.  Everything on the menu that we have tried has been delicious and presented beautifully.  The sauces accompanying each dish are always intrigueing and tasty as all get out.  The best thing of all, though, is the Ginger Creme Brule.  Wow, sir.  It doesnt get better than that.  If you like Viet food, Thai food, or just plain fresh, good food, then this Vietnamese restaraunt should pique your interest.  My goal is to try everything on the menu.",1,1,1,4,"Positive","4"
"6267","yS_jW4NorfZnrPKL3z-Hsg","4","I used the drive thru early one morning on my way to work. I ordered a breve latte. It came as expected and was very good. A little pricey but I'm cheap. I hope this place stays in business. It's nice to have a neighborhood coffee shop that's not a chain. The drive thru option is great too.",0,2,0,1,"Positive","4"
"6274","waDiuNyhi6ZkDF2JEHoL2w","4","Very authentic Szechwan style restaurant.  On a average Sat evening, the restaurant is pack full of Chinese family.  The service has improved a bit recently.  The first opening months usually has very long wait.

Szechwan restaurant style dishes tend to be spicy and salty on purpose.  Most dishes are medium spicy here.  So if you can take the average Mexican food, you should have no problem here.  Just ask for lots of ice water.

If you don't eat very spicy, there are still many great noodle dishes and dumping dishes.",0,0,0,0.5,"Positive","5"
"6278","Dh9Nyayao19-P7rwoL11sw","4","This was so good I wonder why Mongolian BBQ hasn't sprung up in every city (hint, hint Alabama!) When you go in you pay for either a small bowl ($9) or a large bowl ($10). I got the small bowl and still had enough left over for another meal. 

The ingredients are spread out in a buffet. You go along the buffet and fill your bowl with whatever you like. I chose chicken, lots of veggies and rice noodles. The trick, from what I can tell is to shove as much food in your bowl and then using the handy wax paper they leave out for you, smash it down into your bowl so you can fit even more in! At the end of the buffet are tubs of different sauces and a chalkboard with  instructions for different combinations. I am a bit of a traditionalist and mixed up the Mongolian sauce. You then hand your embarrassingly heaping bowl to the cooks who quickly stir fry it for you and then hand it back.

Can I just say oh my God was this delicious without sounding vain because really I sort of cooked it myself? The ingredients were super fresh!  There is also a small bar with soup and rice, but I wouldn't waste my time with those if I were you! The BBQ was delicious and fun to prepare!",0,1,1,2.5,"Positive","5"
"6281","y208f9lBeAg8X_53GuC1ZQ","2","I had high hopes for this restaurant, but to be honest, it let me down.  The wild mushroom and goat cheese salad was phenomenal.  From there it was downhill.  Great ambiance, though I think they are trying too hard to be a steakhouse.  

Most importantly though...  Given it is a seafood restaurant, they sure didn't know how to cook my fish.  It was fried and oily (and was not marketed that way on the menu!)  I wanted something light and left feeling like I ate a ton of bricks.  My friend's scallops - she said they were ""okay"" and not better than that.

Oh, and the prices are set as if it were a steakhouse too. (Note: if it were, which it's not.)

Mediocre at best.",0,0,0,1,"Positive","4"
"6283","LTRPrGTyj8jn_eVUuH4FrQ","3","A no frills hole in the wall hamburger joint.  The burger is cooked to order, delicious, and the perfect mix of juicy and slightly greasy so you know you're eating the real deal.  The fixin' bar is an interesting concept which I like since I can pile on as many goodies as I like.  The bar gets a little messy at times, but eh, who cares.

The burgers are not the cheapest, but then again if you wanted cheap you'd go to a dollar menu, no?  Its worth the line, and fighting some of the students from across the street (Phoenix College) for a bite at Hamburger Works!",1,0,0,2.5,"Positive","5"
"6284","o1_rHrHsCflHCwYv-Ykjfg","4","What a cool space!  We needed nourishment on St Pats, as the corn beef and cabbage they were serving at the Irish pub didn't exactly float our boats. We found ourself at Hannys and had a great experience.

Their pizzas are light and tasty.  They looked like too much when they arrived, but they turned out to be the just the base we needed to get through a heavy night of drinking. The reclining booths took a second to get used to, but they just added to the laid back atmosphere once we mastered them.

OK, two friends go the tiniest 'tinis that didn't seem like much of a value, so its probably not the place for hard core drinking (I know, but these are the things I look for)  But for a relaxing cool place to start your evening off, I can still give it the thumbs up.",1,1,1,2.5,"Positive","4"
"6285","aJuQa0UzELo3TfyySzaafQ","1","If we were able to give 0 stars... I would ask to give -1.

I live nearby, and am sad to see that a coffeeshop that sells coffee this horrible is still in business in my neighborhood.

Not only was the breve mocha that I ordered disgusting, so was the process of watching the barista make my drink.

They use hershey's chocolate from a dirty nacho cheese style pump with chocolate sauce dripping down the sides, and coagulated into a thick cap at the tip of the nozzle.  *Disgusting.  

The espresso shot was made without care, or concern for the fact that it was done way too quickly, and with espresso grounds that were ground way before I walked in the door.  Possibly way before the barista started her shift.   *Gross

And finally.  The milk.  She steamed the milk with the automatic steam wand.  This was a huge red flag.  Those are notorious for burning milk and making disgusting drinks.  Well, both were accomplished. 

The steam wand was tinted white from lack of cleaning.  And the worst part was that near the end of the wand was a DARK CHEESE that had accumulated from burning milk and not cleaning the wand after every use. 
Which is FREAKIN - DISGUSTING.

I wasted 5 bucks on an overpriced small mocha, and threw it away after taking a sip.  

Hundreds of businesses in the area close down every year, and there are more realty signs in strip malls in this neighborhood than actual storefronts.  AND I really don't understand why this place hasn't joined the many defunct businesses and starry eyed entrepreneurs in the unemployment line.  

If you own a coffeeshop.  Coffee should be your passion.  
If you own a bait shop.  Fishing should be your passion.
If you just want to open up a business that mirrors a nearby popular chain (short, tall, grande), please stop wasting space in the strip mall and get a day job in a cubicle.

Never going back, warning my friends about this place, and am probably going to contact the health department on Monday.",1,5,1,-8,"Negative","1"
"6286","COmahAddIeMmG-SEUINQ5Q","5","So my friends and I had to roll each other out of the door after this meal was over but it was sooooooooo worth it!!! BEST red kool-aid ever served in jars!! BEST waffles I've EVER had!! BEST red velvet cake I've EVER had!! I also did enjoy their chicken, mac & cheese and collard greens, but none were the best I've ever had, but very good.  I seriously dream about their waffles and red velvet cake, I don't know what magic mix of ingredients make up the waffle batter but it's absolutely perfect and these waffles would stand deliciously on their own even without butter and syrup, but who'd want to do that? the red velvet slice they give you is HUGE and soooo moist, the frostings is cream cheesy delicousness. I can not wait to indulge in this treat again, but since I'm far from being the only one who loves this place, it is always packed and the wait is long, at least on the weekend. Seriously considering taking a day off of work just for a weekday Lo Lo's run =P",1,1,1,4.5,"Positive","4"
"6291","7sDbd3pokdL_AsptgmxAPA","4","One of our favorite pizzas in the Phoenix-area. Well... definitely my husbands. He LOVES, LOVES, LOVES Grimaldi's. 

We always get the same pizza. Every.Single.Time. 

Large pizza -- pepperoni, sausage, and red onion. (That way we can have leftovers the next day - - and I'm not a leftover person.)

SO good!

This location has more outdoor seating than the one in Chandler. Plus they have another side room/building that is great for private parties.",1,1,0,3,"Positive","4"
"6292","cgC-Oeigl6MhXZPq6jlNPg","1","The food was decent, however I am writing about their underhanded business practices.
I ordered a travelzoo voucher for $69 that included 2 3 course meals. It said ""Regularly $140"". What we ordered, if had been ordered off the regular menu would have been about $100. However, we were charged tax on the full $140. 

Second, even though on the voucher it says ""PLEASE TIP ON THE FULL VALUE OF THE CHECK."" (which implies tip is not included and we get to choose the tip amount) and nowhere mentions automatic gratuity, 18% gratuity (18% of $140, even though we ordered $100 worth of food at the most) was automatically added to our check.

Third, even if you had ordered the most expensive options, the highest possible amount it could be worth is $120, not $140. It is mathematically impossible to have the voucher be a $140 value, but that is what they add tax and tip to.

Fourth, after we told our waiter we were using a voucher, he seemed less interested in the service level of our table, which i later realized was because he had a guaranteed 18% (of $140) tip.

I just noticed today they have another travelzoo deal ""$79 - AWARD-WINNING FRENCH DINNER FOR 2 W/WINE, REG. $165"", I am posting this so hopefully if anyone is thinking of buying that voucher, they will read this first before they purchase it.",1,13,3,0.5,"Positive","4"
"6293","lMUkpUjdv5xoEQ4Sr6DN5Q","3","Drunk people go here. Service is good depending who you get. The Burger according to one Arik B can not taste his burger. When ask the server, how come my friend Arik b can't taste his burger? Why?

You had to be there to laugh. What a fun night!!!!

Don't order the pancakes, they are not very good. The chicken strips were a-ok.",2,3,2,1,"Positive","4"
"6294","N5KbO6_pBUAs_KfD4ECAcg","4","I haven't had this in a while so I can't really give a ton of detail but I have been here a few times. It's a traditional japanese restaurant and from what I remember the food was decently priced maybe a little more expensive for dinner than other places. The thing I remember about this place that I really liked were the lunch bento boxes. They had a ton of food and miso soup and all that and they were a great deal, I don't know how much they were but it was very cheap for what you get. The service is only average but for a cheap lunch with more traditional sushi I would definitely hit this place up.",0,0,0,-0.5,"Negative","1"
"6296","rSC2cAoKxImLKmazeQnzqg","4","I have been to this place a few times over the past few years. I get the same thing, the pollo fundido. It satisfies my Mexican cravings.

The atmosphere is fun, maze like. Service is decent and like most places if something is wrong they are quick to fix it. This is a great local restaurant. I love how it lacks the ultra corporate feel of most main-stream joints. Great Mexican!",0,1,0,3,"Positive","4"
"6299","_snq4q49K_W2FK_uDGL5Fw","5","Love this place.  Buffalo chicken breast on a pretzel bun was amazing. Love the atmosphere too!",1,2,0,1.5,"Positive","4"
"6300","zsscIuCplhiLfvPJ3Z3WUw","3","Staying here in lieu of getting a real apartment.  

Pros:
There is someone making my bed.
Location.
Eye candy (they got something right).  Girls are smokin. 
Valet.
  
Cons:
I have a rental car but for nights out, where are the taxis?  You would think paying $250/night 5 nights a week, you would think they'd call one for me.  When I called front desk, they told I can catch one downstairs.  No, I do not want to stand out front in the cold and wait fot the parking attendant to holla one for me.  
Very small rooms - No couch or real sitting area.
And what?!  No tubs except for the suites. 
No jacuzzi?
Gym - is that treadmill falling apart?  No, it's just someone using it.
Bliss lotion (smells great but useless) - all this dry weather, I have to BYOL.  
Room service (food and wine by the glass)...more variety please.",0,0,1,-0.5,"Negative","1"
"6301","-RHzMqYQbBhXR9wyhRRvxg","4","""I don't know who invented the high heel, but all men owe him a lot.""  (Marilyn Monroe)

A girl and her shoes...are a beautiful thing.  From bags to boots to tennis shoes to pumps to sandals, the selection (at least today) was EXCELLENT.  Not only were there a variety of brands but a variety of price points too.  This place had me salivating!  I could easily have purchased three (3) pair but decided to wait and visit again with a friend......it's a chick thing!",1,1,0,2,"Positive","4"
"6305","LQAGqljDv0OefCFf236hzA","3","The food at Beaver Choice Scandinavian Bistro is delicious; a little unusual, but easily understood. Hearty and reasonably priced. You can find out all about it at azcentral.com in an article by Howard Seftel. Then, after reading this survival guide, you should go and try it.

     Things you will need:
 1. An afternoon or evening with no commitments other than your meal. This could take a long, long time.
 2. A pen and a piece of paper on which to write your order (along with an alternate choice).
 3. Dining companions who all enjoy the same foods and are willing to eat off the same plate.
 4. A snack to tide you over until your food arrives.
 5. A sense of humor (but try not to laugh out loud),

     Here's our experience:

     Four of us entered the small, 20 seat restaurant at 12:10. There were six other people seated at the minimalist glass top tables. A large, and very appetizing looking catering order was taking up another table. We were given menus and told to order at the counter. There were many, many choices of entrees (a few warned that they would take between 20 and 35 minutes to prepare - we avoided those), and each one came with a choice of four side dishes. You can see why a paper and pen might come in handy. Ken went to place our order, but he had to wait for three other people who had arrived before him. It took a while.  Then he was told that my entree choice was not available because they had run out of gravlax. I came up with another selection, and Ken went back to the counter - where another group of people had taken his place and were ordering. Another wait, then my second choice wasn't available either. The sauce had to be reduced and wouldn't be ready until Tuesday. I figured I'd be safe with a third choice of Swedish meatballs, so I yelled over to Ken who saw that each of our orders was being written on a separate piece of paper. Odd.

     We settled in to wait for our food. Our drinks were brought to the table. Sena's eyes popped when she sipped the pitch black coffee. The waitress said it was always that strong and that there was no milk or half and half available, but she could bring out some heavy cream. I noticed that food was coming out of the kitchen painfully slowly. One dish to one table, a while later, one dish to a different table. Companions were left twiddling their thumbs. It so reminded me of Hell's Kitchen - I could hear Gordon Ramsey going ballistic: ""Shut it down you &*#$%!!!!"" . At about 1 PM my Swedish Meatballs were delivered. I put the plate in the middle of the table and invited everybody to dig in. Luckily the servings are large. We finished that off and waited another ten minutes before Sena's chicken schnitzel arrived. That too was shared. At about 1:35 Ken's entree was brought. That left Leon, who had ordered Tilapia. We flagged down the owner and told her that we had a 2 PM engagement and would like our remaining dish. She said she'd look into it, went into the kitchen and was not seen again. A while later another staff member came over and told us that there had been a large catering order, that they had only a six burner stove  and that 2 employees had called in sick. I mentioned that I didn't think it was right to serve some people at a table and not others. ""This is the way we do it, we're not going to change it, and Howard Seftel thought it was all right"", was the emphatic reply. More waiting. At 1:50 a different staff member came over and said it would be a few more minutes. To our disconcerted rumblings he said - and you're not going to believe this - ""The fish has to be defrosted slowly because of the parasites....""  At this point, I'll confess, I started to laugh loudly and somewhat
hysterically. It may have been rude, but I couldn't help myself. 

     We were out of time, so Leon decided he'd take the fish to go. Ken went up to the counter and gave one of my Valley Vittles cards to the ""parasite"" staff member, saying that the food was great but the service terrible. At which point the staff member had a melt-down, yelled at Ken to get out of his restaurant, then went slamming through the kitchen kicking something on the way out. 

     This was truly one of the oddest dining experiences I've ever had. Very Alice in Wonderland. But if you go equipped with the five items mentioned above, you'll have some excellent food.",5,6,6,1,"Positive","4"
"6308","dplNFFcp5MX2kcpIir8jQQ","4","I've been here many many times and have never had a bad time. Everything has always been up to par. I literally have no complaints.

AND - I recently dropped a personal check made out to me while getting cash out to pay my bill. The manager found it and mailed it back to my client. Talk about honest service. 

BJ's is our go to place for an easy weekend lunch. Their home brewed root beer is super good.",1,2,0,1.5,"Positive","4"
"6312","C5SAWaJC7LpRnw56gy5fQA","5","After flying across the country we were hungry and as I've done in many other cities, I went in search of pho.  

I ordered the pho dac biet.  The broth was not oily, and packed with flavor.  The noodles were just right and there was a generous amount of tripe and tendon.",0,1,0,1,"Positive","4"
"6314","xcMUacWzWFbzwZtosQZcmA","2","I hated this place. It looks like a nice first date restaurant but the food and price are so not worth it. The hot tofu soup was pitiful and my fiance ordered the bbq and a sushi which were both too expensive for their own good and the sushi tasted like something was old....Never again! Chodang, here I come!",0,0,0,1.5,"Positive","5"
"6315","xekmTnJPFbMr4b3zscotVg","5","What can I say about Execucar. I love their service. It cost just as much if not cheaper than taking a cab for me. I make a reservation on-line, get confirmation via email as well as a phone call the day before confirming my reservation. The cars are always nice, clean, and fresh smelling (yes that may seem weird but I have been in some cabs that were like WHOA!) The drivers are always in shirts, ties, and slacks and they are professional and courteous. I have never had a driver be late (knock on wood) and they have always gotten me to the airport on-time. Plus I get some frequent flyer miles added to my USAirways account for using them. Can we say bonus!",1,3,1,3.5,"Positive","4"
"6317","HSenViZb--vlRB6Jjof46A","4","My hard drive crashed on my computer and Apple told me that they recommend a 3rd party company to retrieve my data. Like most Americans I am totally Apple Brainwashed so I did what they said. This company came back and told me that it would cost between $1800 & $2400 to retrieve my data. I asked for them not to precede and got my computer back. I walked into this location, told them my problem and $199 later got all my data put on to my external hard drive. I am very thankful for them and would recommend them to anyone in need!",0,0,0,0,"Neutral","4"
"6319","5MjYDByOR3JtiE9giNPgAg","5","Since I have ranted recently on poor customer service, and in the spirit of balance, here is a shining example of how easy it really is.

Late last summer  I came home and was shocked to see two of my sunscreens looking quite vandalized. Upon further inspection, it appeared that while using a back mounted leaf blower, one of the landscape crew had brushed against them. The exhaust pipe must have ripped and burned the screen material as well. It was quite the nasty burned melted scar.

 After staring at it for several hours, I realized there was no virgin Mary, no Jesus, hell it just looked like burned grilled cheese without any deity or lesser apparitions whatsoever, regardless of the angle or my squint. So deciding there was no money to made on eBay, I set out to get them repaired.

Did some online searching and decided to call AmeriZona. I explained the situation and was told they could repair them, but I would have to bring them in. These are some pretty large sun screens mind you and packing them into the convertible would have been a challenge.

While pondering what to do the person helping me on the phone asked me if I could hold on. I could tell it was one of those thinking on your feet light bulb went off type can you hold requests.

She came back on the phone, informed me that she had a crew that was working close by and that she would ask one of the crew to swing by and pick up the screens for repair. She could not promise when they would be repaired, but for that convenience alone I was on board. She had already quoted me the price to repair the screens, and it was very reasonable considering some other online comparisons.

Someone showed up within a few hours to pick up the screens. He could not have been more accommodating, and it was obvious this guy had been working all day and was on his way home. 

A few days later, Mark  phoned me to tell me my screens were ready and to tell me he was going to drop them off on his way home! Needless to say Mark was also very pleasant to deal with. I believe he was at the time the sales manager. 

When he arrived, the screens looked great, matched the color of the others, even with the sun bleaching over several years. He even offered to put them in! 

This experience was way beyond any customer service expectations. No extra charges for any of the above and beyond the call of duty efforts. Outstanding, and quite refreshing.",2,2,3,0.5,"Positive","4"
"6320","pd1lOm8RXhw5HkN-eXR1XA","5","They really do a great job, and you will really pay for it. I don't have incredibly pricey clothing, so getting my $50 blouses dry cleaned here just doesn't make sense- but I would absolutely trust them with very important articles (nice sport coats, lined trousers, wedding gowns, blood soaked mattresses... haha, kidding).",1,5,0,2,"Positive","4"
"6323","DHEq0yLTu0rMGS-Ahov5Hg","2","Have you ever had the Lean Cuisine chicken enchiladas? Have you ever been to a super obnoxious sorority party, where all the blonde bimbos are tanked and dancing on tables and such? Have you ever been totally ignored by wait and bar staff even though you've doused yourself in lighter fluid and set yourself on fire? Well. Then. You've been to San Felipe's. Lower than mediocore food. Except for the grilled fish tacos. Thus 2 stars. Not 1. When I lived at DCRanch, I thought this would be a less expensive, less formal place to hang out. Hmmm...other than grabbing a quick beer here I'd sooner stay at home, eat Doritos and watch a sorority slasher film. What do Kristin and Pierre say? Meh? Yea, that's it. Meh!",14,14,20,0,"Neutral","4"
"6325","mXLf-FDkFCLhKj-b72M5eQ","2","This particular restaurant is not set up well.  There is a section of 4 soups all clearly labeled, but further down, there is a black kettle of another soup with a tiny little label that you have to pick up and read. In the center of the counter, there is a bread bin, you have to lift the plastic door and hold it open while you retrieve your bread.  I was fascinated to watch other people's techniques for bread retrieval while I was eating.  There are tortilla chips in this bin and then you have to go to one end of the counter for taco meat, then to the other end for cheese, lettuce, sour cream, etc. Poorly planned and smaller selection than Sweet Tomatoes, I would rather pay a few more dollars for a better selection.",0,3,0,1,"Positive","4"
